idproyecto;titulo;modo;año;descripcion;objetivo_grl;numero_trimestres;trimestre_idtrimestre;area_idarea;estado_proyecto_idestado_proyecto;documento
1;"Sistema de comparación de ontologías utilizando un enfoque de medición basado en vectores";"Proyecto tecnológico";2015;"Sistema de comparación de ontologías utilizando un enfoque de medición basado en vectores";"Sistema de comparación de ontologías utilizando un enfoque de medición basado en vectores";2;2;1;4;http://espartaco.azc.uam.mx/tesis/X21156.pdf
2;"Implementación de un sistema web para dar seguimiento a las visitas realizadas a entidades financieras por parte de la Comisión Nacional Bancaria y de Valores";"Proyecto tecnológico";2014;"Se reimplementó el sistema existente a través de una aplicación Web. Para conseguir que se satisficieran los requerimientos que tiene el sistema en la aplicación Web se utilizó una combinación de las tecnologías JSP, Servlets, Axis2 (Servicios Web) y el manejador base de datos Microsoft SQL Server Express 2005. Este reporte describe el proceso de diseño e implementación de la aplicación Web.";"Diseñar e implementar un sistema web para registrar, consultar y actualizar información relevante de las visitas que se realizan a las instituciones financieras por parte de la Dirección General.";2;1;1;4;http://espartaco.azc.uam.mx/tesis/X21165.pdf
3;"Desarrollo, de un videojuego de rol para dispositivos móviles con android";"Proyecto tecnológico";2015;"El presente proyecto se llevo a cabo satisfactoriamente utilizando AndEngine1 el cual es una implementación de un motor de juego 2D de OPENGL2 para dispositivos con sistema operativo Android3 , el cual utiliza el lenguaje de programación Java y fue utilizado dentro del entorno de desarrollo integrado (IDE4 ) Eclipse";"Programar un videojuego de rol por turnos también llamado RPG13 en 2D para dispositivos móviles con Sistema Operativo Android 2.3.3 o superior utilizando el motor de juego andengine.";2;1;7;4;http://espartaco.azc.uam.mx/tesis/X21850.pdf
4;"Buscador semántico de recursos académicos de la DCBI en una plataforma de cómputo móvil";"Proyecto tecnológico";2013;"Integrar conocimientos adquiridos en distintas unidades de enseñanza aprendizaje del plan de estudios, mediante su aplicación a la resolución de un problema específico de nivel profesional, al desarrollo de una investigación o a través del ejercicio profesional.";"Aplicar de manera sistemática, gradual e integral las competencias básicas de investigación, así como los conocimientos científico-técnicos y complementarios adquiridos en la formación universitaria para desarrollar el Proyecto de Integración, conforme a lo autorizado por el Comité de Estudios y la modalidad elegida proyecto tecnológico, proyecto de investigación, estancia profesional o experiencia profesional";2;1;7;4;http://espartaco.azc.uam.mx/tesis/X21218.pdf
5;"Desarrollo de un videojuego para dispositivos móviles con android para fomentar la sana alimentación en niños";"Proyecto tecnológico";2016;"Se llevo acabo la implementacion de un videojuego para dispositivos moviles con sistema operativo android, el cual tiene por objetivo fomentar la sana alimentacion en niños con problemas de sobrepeso y obesidad";"Diseñar e implementar un videojuego de plataformas para telefonos inteligentes con sistema operativo android, a traves del cual se fomente la alimentacion saludable en niños.";2;3;7;4;http://espartaco.azc.uam.mx/tesis/X22289.pdf
6;"Sistema de búsqueda de coincidencias de servicios web";"Proyecto tecnológico";2014;"La propuesta de Sanchez tine relaacion con esta propuesta en el uso de ontologias. pero, se diferencia en que el motor de busqueda de conicidencias no es para realizar clasificacion, su uso es para la comunicacion entre cliente y proveedor";"Diseñar e implementar un sistema web mediante el cual clientes realicen la publicacion de solicitudes de servicios web, proveedores de servicios realicen la publicacion de las descrpciones de servicios web ofertados, y que a traves de la implementacion de un motor de busqueda de coincidencias entre las solicitudes y las opfertas de servicios web se notifique automaticamente a los involucrados sobre la concidencia. ";2;3;2;4;http://espartaco.azc.uam.mx/tesis/X21098.pdf
7;"Clasificación de servicios web mediante el algoritmo Colonial Artificial de Abejas";"Proyecto tecnológico";2016;"El Proyecto de Integración consistió en la creación de un programa que clasifica las descripciones de servicios web, como también el de analizar y medir el desempeño del mismo, las descripciones de los servicios web están contenidos en una ontología, la búsqueda se realizo de manera simple y más específica con un enfoque semántico.";"Adaptar e implementar un programa que permita clasificar servicios web mediante un hibrido entre el algoritmo de Colonia Artificial de Abejas , K-Means y Consenso.";2;3;2;4;http://espartaco.azc.uam.mx/tesis/X22293.pdf
8;"Sistema Web para obtener la similitud entre publicaciones científicas mediante técnicas semánticas";"Proyecto tecnológico";2014;"El presente proyecto es un sistema web que determina la similitud entre dos texto como publicaciones científicas atraves de utilizar tres diferentes métricas (Tf-idf, frases y tripletas). El sistema consta de cuatro módulos descritos a continuación.";"Diseñar e implementar un sistema web para determinar el grado de similitud entre publicaciones científicas descritas en inglés con un formato libre (lenguaje natural), utilizando técnicas semánticas.";2;2;2;4;http://espartaco.azc.uam.mx/tesis/X21085.pdf
9;"Sistema de recuperación de información de textos de investigación de la web";"Proyecto tecnológico";2013;"El presente documento proporciona información sobre el desarrollo del Proyecto Terminal “Sistema de recuperación de información de textos de investigación de la web” para la División de Ciencias Básicas e Ingeniería (DCBI) de la UAM-Azcapotzalco.";"Diseñar un sistema basado en arañas web focalizadas que recuperen información de contenidos de investigación públicos en la web, el cual reciba como entrada varias palabras clave para realizar la búsqueda y así recuperar los documentos relacionados más relevantes, para su posterior procesado dentro de un minador de datos usando algoritmos de clústers y clasificación.";2;1;2;4;http://espartaco.azc.uam.mx/tesis/X21211.pdf
10;"Sistema clasificador de ontologías mediante métodos de máquinas de soporte vectorial";"Proyecto tecnológico";2013;"Sistema clasificador de ontologías mediante métodos de máquinas de soporte vectorial.";"Diseñar e implementar una aplicación web que lea un conjunto de ontologías y las clasifique utilizando métodos de máquinas de soporte vectorial.";2;2;1;4;http://espartaco.azc.uam.mx/tesis/X21211.pdf
11;"Servicios Web para la gestión de conocimiento usando un modelo ontológico";"Proyecto tecnológico";2015;"Diseñar los componentes de software para la administración (recuperación e inserción) de información en la ontología de perfiles profesionales.";"Validar el desempeño de los servicios Web mediante su publicación en un repositorio de servicios y su invocación remota en una aplicación.";2;3;2;4;http://espartaco.azc.uam.mx/tesis/X21243.pdf
12;"Sistema semántico para la representación de contextos utilizados en aplicaciones de cómputo ubicuo";"Proyecto tecnológico";2013;"se obtendrá una aplicación que utilice un sistema semántico de recomendación inteligente para la representación de contextos de cómputo ubicuo, que contienen un modelo multidimensional de ontologías con dominios de conocimiento con la información de alumnos, profesores, espacios físicos del departamento de Sistemas de la división de CBI en la UAM-A.";"se obtendrá una aplicación que utilice un sistema semántico de recomendación inteligente para la representación de contextos de cómputo ubicuo, que contienen un modelo multidimensional de ontologías con dominios de conocimiento con la información de alumnos, profesores, espacios físicos del departamento de Sistemas de la división de CBI en la UAM-A.";2;1;2;4;http://espartaco.azc.uam.mx/tesis/X21088.pdf
13;"Sistema web para identificar eventos y actores en textos periodísticos";"Proyecto tecnológico";2015;"en este proyecto se propone diseñar e implementar un sistema que realice la extracción de información en textos periodísticos de medios nacionales mediante minería de textos, facilitando el acceso de grandes colecciones de datos textuales y mejorando así la productividad en las tareas de análisis y síntesis de información, que en este caso será basado en eventos y actores.";"Diseñar e implementar un sistema Web para la anotación semántica de actores y eventos a partir de un corpus de textos periodísticos mexicanos aplicando técnicas de minería de textos haciendo uso de características sintácticas, semánticas y contextuales.";2;3;2;4;http://espartaco.azc.uam.mx/tesis/X21242.pdf
14;"Representación semántica y extracción de información sobre publicaciones en expedientes curriculares";"Proyecto tecnológico";2014;"Este proyecto surge como posible solución para la extracción de información de publicaciones sobre expedientes curriculares para su almacenamiento y recuperación de la misma mediante ontologías. Con el sistema es posible extraer artículos y publicaciones de los expedientes utilizando técnicas de procesamiento natural.";"Modelar semánticamente aspectos de investigación mediante ontologías y extraer información sobre publicaciones a partir de expedientes curriculares en español utilizando técnicas de minería de textos, específicamente aprendizaje automático con reglas semánticas.";2;2;2;4;http://espartaco.azc.uam.mx/tesis/X21134.pdf
15;"Extracción y Representación de servicios web escritos en SAWSDL mediante una ontología";"Proyecto tecnológico";2014;"La relevancia de este proyecto es que colabora en la solución de invocar a los servicios web de forma automatizada ya que con ayuda de una herramienta la cual nos permita obtener las anotaciones semánticas de un servicio web, dichas anotaciones se modelarán en una ontología. Al usar un modelo ontológico se logra documentar de una mejor manera la descripción de los servicios ya que se asocian conceptos y relaciones del modelo ontológico con parámetros y operaciones de un servicio web.";"Diseñar e implementar un sistema que lea descripciones de servicios web en SAWSDL para extraer los elementos representativos de éstos y almacenarlos en una ontología.";2;3;2;4;http://espartaco.azc.uam.mx/tesis/X21123.pdf
16;"Aplicación Web para la visualización y análisis de datos extraídos del sistema ODBII para la gestión de una flota de camiones.";"Proyecto tecnológico";2015;"La aplicación web tiene como objetivo principal el despliegue de la información referente a los datos obtenidos del dispositivo; como lo es el gasto de combustible, el cual por medio de una gráfica se puede observar cómo se fue dando el consumo de éste y determinar si es adecuado o no dependiendo de la forma de la imagen; otro dato importante, son las lecturas de posicionamiento satelital; ya que la aplicación es capaz de mostrar estas lecturas en un mapa señalando el inicio de la ruta y el final de la misa, con el fin de que el usuario pueda saber si la ruta del transporte fue adecuada o no; los códigos DTC proporcionan información sobre fallas del vehículo y el dispositivo conectado a éste tendrá acceso a esta información, por lo cual el sistema proporcionara este código, la falla y la localización de la misma.";"Diseñar e implementar una aplicación web para analizar y visualizar la información obtenida del dispositivo conectado al sistema ODBII de un camión.";2;2;2;4;http://espartaco.azc.uam.mx/tesis/X21143.pdf
17;"Sistema para la clasificación de artículos científicos mediante el algoritmo K-means utilizando características semánticas";"Proyecto tecnológico";2015;"Se diseñó un sistema para la clasificación de artículos científicos en idioma inglés utilizando el algoritmo de agrupamientoK-means. El sistema implementa la obtención, de un conjunto de documentos en formato PDF, y presentación de resultados por medio de la tecnologíaweb Java Servlets.";"Diseñar e implementar un sistema Web para la clasificación de documentos científicos en inglésmediante el algoritmo K-means basado en características sintácticas, semánticas y contextuales.";2;3;2;4;http://espartaco.azc.uam.mx/tesis/X21240.pdf
18;"Representación semántica de información espacial y temporal a partir de textos periodísticos mediante reglas lingüísticas.";"Proyecto tecnológico";2014;"La realización de este proyecto surgió para darle una respuesta puntual a la problématica que se tiene con el procesamiento de información disponible en textos periodísticos escritos en lenguaje español. Este proyecto contiene el diseño e implementación de un sistema que realiza la extracción de información en noticias nacionales, mediante reglas lingüísticas y su representación en un modelo de datos semántico, esto facilita el acceso de grandes volúmenes de texto y mejora así la productividad en las tareas de análisis y síntesis de información.";"Extraer información espacial y temporal a partir de textos periodísticos descritos en español aplicando reglas lingüísticas con la finalidad de enriquecer un modelo de datos semánticos.";2;2;2;4;http://espartaco.azc.uam.mx/tesis/X21136.pdf
